REFERENCE_NON_TROUVEE,MATCH_1,SCORE_1,MATCH_2,SCORE_2,MATCH_3,SCORE_3,MATCH_4,SCORE_4,MATCH_5,SCORE_5
21299-00889-500,2129900889500,92.85714285714286,2129900788500,85.71428571428572,2129900789500,85.71428571428572,2129900809500,85.71428571428572,2129900828500,85.71428571428572
21299-01000-500,2129901000500,92.85714285714286,2129900700500,85.71428571428572,2129901002500,85.71428571428572,2129901003500,85.71428571428572,2129901004500,85.71428571428572
21299-01046-500,2129901046500,92.85714285714286,2129900746500,85.71428571428572,2129900846500,85.71428571428572,2129900946500,85.71428571428572,2129901004500,85.71428571428572
21299-01069-500,2129901069500,92.85714285714286,2129900769500,85.71428571428572,2129900869500,85.71428571428572,2129901006500,85.71428571428572,2129901009500,85.71428571428572
21299-01076-500,2129901076500,92.85714285714286,2129900706500,85.71428571428572,2129900716500,85.71428571428572,2129900736500,85.71428571428572,2129900746500,85.71428571428572
21299-01120-500,2129901120500,92.85714285714286,2129901010500,85.71428571428572,2129901020500,85.71428571428572,2129901100500,85.71428571428572,2129901101500,85.71428571428572
21299-01157-500,2129901157500,92.85714285714286,2129901057500,85.71428571428572,2129901107500,85.71428571428572,2129901115500,85.71428571428572,2129901117500,85.71428571428572
21299-01158-500,2129901158500,92.85714285714286,2129901058500,85.71428571428572,2129901108500,85.71428571428572,2129901115500,85.71428571428572,2129901118500,85.71428571428572
21299-01159-500,2129901159500,92.85714285714286,2129901019500,85.71428571428572,2129901059500,85.71428571428572,2129901109500,85.71428571428572,2129901115500,85.71428571428572
21299-01209-500,2129901209500,92.85714285714286,2129901009500,85.71428571428572,2129901019500,85.71428571428572,2129901020500,85.71428571428572,2129901029500,85.71428571428572
22403-10338-000,2240310338000,92.85714285714286,2240310133000,85.71428571428572,2240310330000,85.71428571428572,2240310331000,85.71428571428572,2240310335000,85.71428571428572
22403-20159-000,2240320159000,92.85714285714286,2240320129000,85.71428571428572,2240320145000,85.71428571428572,2240320150000,85.71428571428572,2240320151000,85.71428571428572
22405-10057-000,2240510057000,92.85714285714286,2240510058000,85.71428571428572,2240100051000,78.57142857142857,2240100052000,78.57142857142857,2240100115000,78.57142857142857
25111-00003-000,2511100003000,92.85714285714286,2111500003000,85.71428571428572,2511100001000,85.71428571428572,2511100002000,85.71428571428572,2511100003001,85.71428571428572
S-LDABSL,SLDABSL,93.33333333333333,SASGL,61.53846153846154,BHABSL001,47.05882352941176,SRAPSALES,47.05882352941176,SWCABCLIP,47.05882352941176
S-WT-001,SWT001,85.71428571428572,SBFWT001,75.0,SSWT002,66.66666666666667,SWT001BLAU,66.66666666666667,SBFWC001,62.5
SEAT COVER,SEATCOVER,94.73684210526316,SEATCOV,82.35294117647058,QMSECABCFV,50.0,BGSPHEREPLATE,43.47826086956522,BNSPHEREPLATE,43.47826086956522
SIAMP YIN YANG DUAL FLUSH PLATEGOLD,SIAMPYINYANGDUALFLUSHPLATEGOLD,92.3076923076923,BCM350YINYANG,33.333333333333336,BGSPHEREPLATE,33.333333333333336,BNSPHEREPLATE,33.333333333333336,BBSMPLATE,31.818181818181824
